File,Display name,SHA256,Width,Height,Action,Client ID,Cloudinary public ID,Review exception
Mintrocket.jpg,Mintrocket,6631e4dac23f551ec2f379a2fe28efbf6d0c59f457226692c5fe1aa075e0ad28,200,108,new,client-renaissance-mintrocket-en,renaissance/clients/v4/mintrocket-6631e4dac23f,
Mixed_Bag.jpg,Mixed Bag,1e0d289db38e242a91e2bb3618c333d5919050375a7eaa1052a11da83824301f,200,200,new,client-renaissance-mixed-bag-en,renaissance/clients/v4/mixed-bag-1e0d289db38e,
Mob_Entertainment.jpg,Mob Entertainment,5c1b2136d6d068b2fed1e2bc60d56e2ae48b89017f138b77c739dde98db074be,200,102,new,client-renaissance-mob-entertainment-en,renaissance/clients/v4/mob-entertainment-5c1b2136d6d0,
My_Games.jpg,MY.GAMES,a76be1d44dce072bcb1299b1a90758cd2bd8161d162d18bf58c59b3f7f02587a,200,166,new,client-renaissance-my-games-en,renaissance/clients/v4/my-games-a76be1d44dce,
Mythwright.jpg,Mythwright,c440136f4675660f08e432d837cbfe446b3a222f56939c8cc82017dcc339db12,200,56,new,client-renaissance-mythwright-en,renaissance/clients/v4/mythwright-c440136f4675,
Nacon.jpg,Nacon,964a23a2b2dcdcb4eb4975ab27d332d6413d11c187954d456d789679cd2d16ea,200,200,new,client-renaissance-nacon-en,renaissance/clients/v4/nacon-964a23a2b2dc,
Netease.jpg,NetEase,aa81a4786b5951d06c3ca3294edd5e54a8fd6e2d9886ff19cd271d51f1c6011d,200,200,new,client-renaissance-netease-en,renaissance/clients/v4/netease-aa81a4786b59,
Nighthawk_Interactive.jpg,Nighthawk Interactive,e311189b1f7b96e3374b14dbde451e98de6f5ab95cfd743fa3720d1321203930,200,200,new,client-renaissance-nighthawk-interactive-en,renaissance/clients/v4/nighthawk-interactive-e311189b1f7b,
PM_Studios.jpg,PM Studios,f6a7a5d42848a8f0c38a4694a69e774cd4f634592fc019a394955110bc4d7476,200,68,new,client-renaissance-pm-studios-en,renaissance/clients/v4/pm-studios-f6a7a5d42848,
Parco_Games.jpg,Parco Games,216eb4c8994719376865f0d7a2d4c3514cc7a90e1a596bcae6edcc82d2004685,200,127,new,client-renaissance-parco-games-en,renaissance/clients/v4/parco-games-216eb4c89947,
Passion_Games.jpg,Passion Games,b2d3b6b4be016173ddcf15b1aec2e4b85675e23581a92b55ac531e1dce98ca93,200,200,new,client-renaissance-passion-games-en,renaissance/clients/v4/passion-games-b2d3b6b4be01,
Pathea.jpg,Pathea,09bfef05a84b880626ac33a33a2eb878451313f665e141e812d3514e37514d0f,200,58,new,client-renaissance-pathea-en,renaissance/clients/v4/pathea-09bfef05a84b,
Payload_Studios.jpg,Payload Studios,12afb0c90492863387b7a291e5e32af7f43f5fa315b2c905ee6f0bb6ff4d28cb,159,200,new,client-renaissance-payload-studios-en,renaissance/clients/v4/payload-studios-12afb0c90492,
Perfect_World.jpg,Perfect World,68fb90af1ffbeb4bb4c7aed96921ebf454ba6df7624cd033bab34f2e6d266d48,200,33,new,client-renaissance-perfect-world-en,renaissance/clients/v4/perfect-world-68fb90af1ffb,
Perp_Games.jpg,Perp Games,e2db53c936b24cebb8bbd69e3c8dc9b510a406d0653e4fd11b1fdedc8e2c0393,200,200,new,client-renaissance-perp-games-en,renaissance/clients/v4/perp-games-e2db53c936b2,
Pingle_Studio.jpg,Pingle Studio,2dbeadfe2f15437479e245168e4d48d52f0d56a55ae25a5ceba214e471438f2b,200,80,new,client-renaissance-pingle-studio-en,renaissance/clients/v4/pingle-studio-2dbeadfe2f15,
Pixyul.jpg,Pixyul,35f85a8dd77d269ef90c19ef301198e87dac84bf66f578e01c777aac51355c93,200,200,new,client-renaissance-pixyul-en,renaissance/clients/v4/pixyul-35f85a8dd77d,
Plaion.jpg,Plaion,1b61f04097db09db4396bc877ba283e02cb7fb52b95e845332a288b5f553550a,200,42,new,client-renaissance-plaion-en,renaissance/clients/v4/plaion-1b61f04097db,
PlayFusion.jpg,PlayFusion,c34792a6337d663a558e2771a3dc6ebc8e99422bcf5397badb0ad5c01f7840df,180,81,new,client-renaissance-playfusion-en,renaissance/clients/v4/playfusion-c34792a6337d,
Playmagic.jpg,Playmagic,3d6ba9cdd4d25378957accafdb423f8a302b86f6069e6325a2e488e5e4435c73,200,200,new,client-renaissance-playmagic-en,renaissance/clients/v4/playmagic-3d6ba9cdd4d2,
Pqube.jpg,PQube,7038130bdbd44c659e0ac7bff82e6fd3eed964e3335467f7bddd69e79688f9aa,200,200,new,client-renaissance-pqube-en,renaissance/clients/v4/pqube-7038130bdbd4,
Private_Division.jpg,Private Division,c2bf8c75dbbef29a09c8ef46a835219c8dd9437e11d07c17ea473c5271c8dccc,200,200,new,client-renaissance-private-division-en,renaissance/clients/v4/private-division-c2bf8c75dbbe,
Qooland_Games.jpg,Qooland Games,1014437b5530152beeb03b10570a101f97d0e4feeb85b12e4e732a45ab69c945,200,52,new,client-renaissance-qooland-games-en,renaissance/clients/v4/qooland-games-1014437b5530,
R8_Games.jpg,R8 Games,808441e705f32cfaba3ffea190549bbdf08a6e56ca0a3522649b25a9aad0eac8,200,200,new,client-renaissance-r8-games-en,renaissance/clients/v4/r8-games-808441e705f3,
Raccoon_Logic.jpg,Raccoon Logic,fb2f9653bcb6e9f392e906da5650eb5e70c98eb2e38f35b11af43558cf613d0e,200,45,new,client-renaissance-raccoon-logic-en,renaissance/clients/v4/raccoon-logic-fb2f9653bcb6,
Radical_Forge.jpg,Radical Forge,4d6d5a25d1d7a312b2705c5c829ba0944830b96e06c14779a3e895b6a8f6e1af,200,100,new,client-renaissance-radical-forge-en,renaissance/clients/v4/radical-forge-4d6d5a25d1d7,
Raiser_Games.jpg,Raiser Games,1f318ee8893f89f204dba784061ebec805324fdb89ef79a3cca895d91675999b,200,200,new,client-renaissance-raiser-games-en,renaissance/clients/v4/raiser-games-1f318ee8893f,
Red_Kite.jpg,Red Kite,5d86a93c88e0f1b51bf034cc9b10aae39e6fc498196bb0a525a632f56ec7cd3e,200,200,new,client-renaissance-red-kite-en,renaissance/clients/v4/red-kite-5d86a93c88e0,
Revolution.jpg,Revolution,88b3d36ffbfd5641bbbf91d95a7c21e18191b7c08e8407b3b912252b79678c0f,200,58,new,client-renaissance-revolution-en,renaissance/clients/v4/revolution-88b3d36ffbfd,
Rising_Star_Games.jpg,Rising Star Games,2464b116f0e0afebb42e87d7dc21fe40f8a4e206ce1f8b357e3b6865fcf6587f,200,200,new,client-renaissance-rising-star-games-en,renaissance/clients/v4/rising-star-games-2464b116f0e0,
SNK.jpg,SNK,5649eea12f1058023a9d8d141249ad8fc23783af82c402753e75f85790ea6272,200,200,new,client-renaissance-snk-en,renaissance/clients/v4/snk-5649eea12f10,
Salix_Games.jpg,Salix Games,0693cc3eb4ccb642c4d58740ae7600774de2f2960c02f696573858d1d7ebc610,200,92,new,client-renaissance-salix-games-en,renaissance/clients/v4/salix-games-0693cc3eb4cc,
Science_and_Media_Museum.jpg,Science and Media Museum,850156e2853e38b275cf1e8b12f0fc2bd49cf19799303bb0b437882ac37cd90a,200,200,new,client-renaissance-science-and-media-museum-en,renaissance/clients/v4/science-and-media-museum-850156e2853e,
Secret_Mode.jpg,Secret Mode,b3b7deb35ff031c4f0bff64e789af6b3dd17a0b8b1b5ef15d8bac84caa80e784,200,143,new,client-renaissance-secret-mode-en,renaissance/clients/v4/secret-mode-b3b7deb35ff0,
Seed_Sparkle_Lab.jpg,Seed Sparkle Lab,b581dc631a9d0d2f42b2c9fac791c8a8de7891f4390c214ae3e17a70aaf8517f,200,200,new,client-renaissance-seed-sparkle-lab-en,renaissance/clients/v4/seed-sparkle-lab-b581dc631a9d,
Sharkmob.jpg,Sharkmob,e36efda88a38c49dcebf97422ac9eaa85a3d0560641e9e60fdffdfba273860b9,200,200,new,client-renaissance-sharkmob-en,renaissance/clients/v4/sharkmob-e36efda88a38,
Shoreline_Games.jpg,Shoreline Games,05115698d9328265483a6040f09f75a192ce632fdc91870540eda96090ef6177,200,93,new,client-renaissance-shoreline-games-en,renaissance/clients/v4/shoreline-games-05115698d932,
Skybound_Games.jpg,Skybound Games,d5f648ef5b3606d9420f39a02a60fb34c602202ea501534ff813465ebedc84a8,200,200,new,client-renaissance-skybound-games-en,renaissance/clients/v4/skybound-games-d5f648ef5b36,
Slitherine.jpg,Slitherine,755f409740da502d834c840931e7f6f35e1a046399b85ff0e516b1b192d60d4a,200,200,new,client-renaissance-slitherine-en,renaissance/clients/v4/slitherine-755f409740da,
